text,label,book_id
"""I've wanted for years
to stay in this hotel, if it was only for a few hours, as I've read so
much about it, and I arranged to stop off at Santa Barbara on purpose,
though I really ought to have gone on. And I'm _so_ tired!"" Angela could bear no more.",1900-2000,11016
"In some
Ilands or places where they are, being hunted for, as soone as they haue
spiall of a man they presently run awaie, & then being chased they clime
and get vp the next tree they can, from whence with arrowes they are
shot downe starke dead, or with those wounds that they may after easily
bekilled; we sometime shotte them downe with our caleeuers. I haue the names of eight & twenty seuerall sortes of beasts which I
haue heard of to be here and there dispersed in the countrie, especially
in the maine: of which there are only twelue kinds that we haue yet
discouered, & of those that be good meat we know only them before
mentioned. The inhabitats somtime kil the 'Lyon' & eat him: & we somtime
as they came to our hands of their 'Wolues' or 'woluish Dogges', which I
haue not set downe for good meat, least that some woulde vnderstand my
iudgement therin to be more simple than needeth, although I could
alleage the difference in taste of those kindes from ours, which by some
of our company haue been experimented in both. 'Of Foule.'",1483-1600,4247
"to the scaffold! O, gentle Ratcliffe! tell me, do I hold thee? Or, if I dream, what shall I do to wake,
To break, to struggle, through this dread confusion? For surely death itself is not so painful
As is this sudden horror and surprise.",1700-1800,30505
"This day I
sent my cozen Roger a tierce of claret, which I give him. This morning
come two of Captain Cooke's boys, whose voices are broke, and are gone
from the Chapel, but have extraordinary skill; and they and my boy, with
his broken voice, did sing three parts; their names were Blaewl and
Loggings; but, notwithstanding their skill, yet to hear them sing with
their broken voices, which they could not command to keep in tune, would
make a man mad--so bad it was. 22nd. Up, and to the office; whence Lord Bruncker, J. Minnes, W. Pen, and
I, went to examine some men that are put in there, for rescuing of men
that were pressed into the service: and we do plainly see that the
desperate condition that we put men into for want of their pay, makes them
mad, they being as good men as ever were in the world, and would as
readily serve the King again, were they but paid. Two men leapt
overboard, among others, into the Thames, out of the vessel into which
they were pressed, and were shot by the soldiers placed there to keep
them, two days since; so much people do avoid the King's service!",1600-1700,4179
"But the spoils were taken by the Friends in a manner little
expected by the clergy. Four students, who were present at the debate,
were so impressed by the arguments and Christian spirit of Barclay
and Keith, that they joined the Friends, and bore public testimony
against the unfairness with which the debate was conducted. Here was
a spiritual triumph indeed, to win trophies amidst such clamour and
strife. The dispute was not allowed to rest. The students published an account
of the transaction, under the title, ""Quakerism canvassed.""",1600-1700,48973
"Oh may his offspring never feel,
      Those pangs he did endure;
   No friendly aid the wound could heal,
      Nor medicine health procure. May our redeemer pardon gain,
      For him and for us all;
   Soon as we cease from earthly pain,
      Or God our spirits call. [Picture: Decorative divider]

            Walker, Printer, near the Duke's Palace, Norwich. AN ADDRESS
TO THE
NORFOLK YEOMAN
ON THE
_Importation of_
FOREIGN GRAIN. BY J. PARKERSON, JUN

   On Foreign grain a duty lay,
   Good Ministers I pray I pray,
   If you our humble suit decline,
   How can we meet and take our wine;
   Chat about prices at Mark Lane,
   To drink a bottle an't' prophane;
   Did Mr. Pitt one night decline,
   To call to aid the generous wine.",1700-1800,33732
"For diligente and
holy bringing vp, is the founteyne of al vertue. As to
folye and myschief, the fyrst, seconde, and thyrde
poynte, is vndiligente and corrupte educacion. Thys is
the thynge that is chiefelye lefte vnto vs. That is
the cause why vnto other beastes nature hathe geuen
swyftnes, flyght, sharpnes of sight, greatnes, and
strengthe of bodye, scales, flyshes, heares, hornes,
nayles, venome, wherby they may both defende their
healthe, and prouide for theyr liuynge, and brynge vp
their yonge: and bryngeth forthe man onlye softe,
naked, and vnfensed: but in stede of all thys, hath
geuen hym a mynde hable to receiue all discipline,
because in this onlye are all thynges, if a man wyll
exercise it.",1483-1600,28338
"Thence I with Mr. Wren in
his coach to my cozen Turner's for discourse sake, and in our way he told
me how the business of the Parliament is wholly laid aside, it being
overruled now, that they shall not meet, but must be prorogued, upon this
argument chiefly, that all the differences between the two Houses, and
things on foot, that were matters of difference and discontent, may be
laid aside, and must begin again, if ever the House shall have a mind to
pursue them. They must begin all anew. Here he set me down, and I to my
cozen Turner, and stayed and talked a little; and so took my wife, and
home, and there to make her read, and then to supper, and to bed.",1600-1700,4196
"This stupendous war-engine was found
rolling helpless in the Irish Sea, her after compartments flooded by
a great hole made either by a drifting mine or, what is more likely
considering its position, by a torpedo from a German submarine. The
White Star liner _Olympic_, which had been summoned by wireless,
took the disabled warship in tow for several hours, after which the
_Audacious_ was cast off and abandoned. A photograph taken by one of
the _Olympic’s_ passengers and afterwards widely circulated shows
the huge ironclad down by the stern, listing heavily to one side,
and apparently on the point of sinking.",1900-2000,50582
"halfpenny _per cent._ will
be the property of the seller. Secondly, it is well known much of the
India stock is held in trust, that A. shall enjoy the dividends for his
life, and after his death they shall go to B. I am told such a case has
happened, in which, A. died the 27th of June last, it is certain the
dividend would belong to B, if it is paid the 5th of July; but it will
go to the executor of A, to the prejudice of B, if you pay the 4l. 13s. 10d. halfpenny for the dividend due the 24th of June.",1700-1800,37048
"At the office all the morning. At noon all of us dined at Captain
Cocke's at a good chine of beef, and other good meat; but, being all
frost-bitten, was most of it unroast; but very merry, and a good dish of
fowle we dressed ourselves. Mr. Evelyn there, in very good humour.",1600-1700,4161
"But let's about it. Actus Quartus. Enter one of the Frenchmen, with fiue or sixe other souldiers in
ambush.",1600-1700,2270
"It is a
graine of marueilous great increase; of a thousand, fifteene hundred and
some two thousand fold. There are three sortes, of which two are ripe in
an eleuen and twelue weekes at the most: sometimes in ten, after the
time they are set, and are then of height in stalke about sixe or seuen
foote. The other sort is ripe in fourteene, and is about ten foote high,
of the stalkes some beare foure heads, some three, some one, and two:
euery head cotaining fiue, sixe, or seue hundred graines within a fewe
more or lesse.",1483-1600,4247
"At a sharp order from Swinton the tonga followed, the driver, eager to
see the fray, carrying them along at perilous speed. At each sharp turn,
with its sheer drop of a hundred feet or more on the outside, the tonga
swung around, careening to one of its two wheels, the other spinning
idly in the air. The little ruby eyes in the back of the dogcart's lamps
twinkling ahead seemed to inspire their driver with reckless rivalry. When they arrived at the temple the battle had reached its climax. The
brass Buddha, its yellow face with the sightless eyes of meditation
staring up in oblivious quietude to the skies, was lying all alone just
within the temple gate.",1900-2000,35179
"[142]

     FRIAR JACOMO. This is the hour wherein I shall proceed; [143]
     O happy hour, wherein I shall convert
     An infidel, and bring his gold into our treasury! But soft!",1483-1600,901
"When learning and books had been extinguished, even the
mechanical arts would have fallen considerably to decay; and it is easily
imagined, that fable or tradition might ascribe to them a much later
origin than the true one. This vulgar argument, therefore, against the
eternity of the world, seems a little precarious. But here appears to be the foundation of a better argument. LUCULLUS was
the first that brought cherry-trees from ASIA to EUROPE; though that tree
thrives so well in many EUROPEAN climates, that it grows in the woods
without any culture.",1700-1800,4583
"Sweet health is banish'd and she finds too late,
   Some dismal bridewell soon must be her fate;
   All means are fled, the staff of life to gain,
   To bridewell hurried with remorse and pain. A pass is granted,--to her father sent,
   Where she is foster'd from the element. A tender parent kiss the long lost child,
   Assures forgiveness tho' by grief turn'd wild. Soon as the mind to calmer scenes invite,
   He bless the hour that brought his lost to sight.",1700-1800,33456
"Then, all at once discovering
the trap, they both throw up the window and call in the police. They
are released, but the house is empty. Pursuit, however, is set on
foot, and Miss Constance Browne is captured the same night in a second
class carriage upon the Great Western Railway, and when searched she
was found to have on her a quantity of diamonds, a £100 note, rings
and jewelry of all sorts, including the missing bracelets. She had
laid her plans well. The house—which was Lady Campbell’s—she had hired
furnished, that day, paying down the first instalment of rent.",1700-1800,49230
"And being tired here too with the variety of his
delights; and finding withal not above twenty pieces left, he mounts his
Horse with an intention homewards but by the way, having some business,
(as a Wench to see or so) at _Malborough_ on the _Downs_, he was met
with, and robb’d, and with a cut or two (for he resisted) he made a
shift to get to the Town. He had behaved himself so loudly ill, that the
report came thither, and those that would in his Fathers life time have
trusted him with 500_l._ would not now trust him with so many farthings;
so that he was forc’d to sell his Horse, and go home on foot. His Wife in the mean time had not been idle in her expences, rioting in
that shameful manner, that the whole Town cryed out shame on her: those
deserved reproaches they daily threw upon her, made her resolve to lay
hold on the opportunity of her Husbands absence and secure what she
could to her own peculiar use, and quit the Town; to that intent she
consulted with her chiefest favourite, (and by the way take notice there
is no Whore so notoriously common, but she keeps one whom she loves
above all others, that shall take the freedom to beat her, abuse her,
strip her sometimes when his Pimp-ship is in the humour, and will
infallibly spend what ’ere she gets if she intends to keep her Flesh and
Bones from being under the Chirurgeons hands) I say consulting him, he
advised by all means to take some speedy course for her
self-preservation, it is an instinct infused into the natures of
irrationals; and therefore certainly man cannot be without.",1600-1700,52822
"He being gone, there comes to me Commissioner Middleton,
whom I took on purpose to walk in the garden with me, and to learn what he
observed when the fleete was at Portsmouth. He says that the fleete was
in such a condition, as to discipline, as if the Devil had commanded it;
so much wickedness of all sorts. Enquiring how it come to pass that so
many ships miscarried this year, he tells me that he enquired; and the
pilots do say, that they dare not do nor go but as the Captains will have
them; and if they offer to do otherwise, the Captains swear they will run
them through. He says that he heard Captain Digby (my Lord of Bristoll's
son, a young fellow that never was but one year, if that, in the fleete)
say that he did hope he should not see a tarpaulin have the command of a
ship within this twelve months.",1600-1700,4168
"At first, a hundred or so years ago, in the
early days of the community, the time of labor was fixed at five hours
per day. But every decade, with the growth of the population, the labor
hours have been diminishing. Recently a law has been put into effect,
forbidding any one’s working more than two hours a day. This latter law
has been found to be an actual necessity, from an economic point of
view, as a provision against surplus production. A man, therefore, has
the whole of the rest of his day on his hands, to spend as best he may.",1800-1900,56639
"Abbreviations and contractions represented as special characters in
the original have been expanded as noted in the table below. A
""macron"" means a horizontal line over a letter. ""Supralinear"" means
directly over a letter; ""sublinear"" means directly under a letter. The
""y"" referred to below is an Early Modern English form of the
Anglo-Saxon thorn character, representing ""th,"" but identical in
appearance to the letter ""y.""",1483-1600,26056
"Any doubt on the subject would show that their
daughter did not possess his love!--O that prostituted name love! used
every day to quality the basest and most ignoble feelings of our
nature. But to go on with the history of a French marriage. The contract
generally imports, that the father of the young lady shall pay a
certain yearly sum to her husband, and a further sum is promised to be
left her at the death of her parents.",1800-1900,49718
"So home, and after some
merry discourse in the kitchen with my wife and maids as I now-a-days
often do, I being well pleased with both my maids, to bed. 19th. Up by five o'clock, and while my man Will was getting himself ready
to come up to me I took and played upon my lute a little. So to dress
myself, and to my office to prepare things against we meet this morning. We sat long to-day, and had a great private business before us about
contracting with Sir W. Rider, Mr. Cutler, and Captain Cocke, for 500 ton
of hemp, which we went through, and I am to draw up the conditions.",1600-1700,4134
". . .""",1900-2000,41324
"How does she
know what may be the end of it? There may be after symptoms. MRS. SHORT. Oh, don't let us think of that--I trust that you are not
seriously hurt.",1800-1900,52661
"The hospital was afterward built with large stone pillars,
but, as the number of the sick constantly increased, and as there
was not room enough for them in that house, they erected another
building, very large and handsome, which was finished in 1625; and
both are still used. Since at some times they cannot accommodate the
sick because of their number, another one is now being built, still
larger and finer. The Lord always supplies it with great abundance,
as a house that continually furnishes Him people for heaven--those
who, if they had died out of the hospital, would necessarily have
died in their unbelief, and would have gone to people hell. As a result of the continued preaching to the Chinese, the number
of them converted and baptized increased from year to year. Since
after this they were not permitted to return to their own country,
they married and settled down in this one, so that the population of
Christians in Baybay belonging to this nation was greatly increased.",1600-1700,39054
"Wherein several Things relating to the _Popish_ Designs
               upon these Three Kingdoms, are discovered. The Original whereof was found in the late King
           _James_’s Closet, in the Castle of _Dublin_, at his
               leaving that City: And the Copy whereof was
               found in the Titular Archbishop’s Lodgings. _Now Publish’d with Reflections on each Paragraph._

                                _LONDON_:
           Printed for Ric.",1600-1700,58419
"Scudder was also on hand, and repeated some
of his clever work at Longwood. He put up even a better game at
Newcastle, defeating Budlong in the second round, but he succumbed to
Ware in the semi-finals. Whitman was apparently not in the best of condition when he stepped into
court for the final match, but he warmed up to his work as the games
piled up, and showed good form in the last three sets. The first offered
no exhibition of particularly fine play.",1800-1900,33104
"Nature to all things fixed the limits fit
  And wisely curbed proud man's pretending wit. As on the land while here the ocean gains. In other parts it leaves wide sandy plains
  Thus in the soul while memory prevails,
  The solid power of understanding fails
  Where beams of warm imagination play,
  The memory's soft figures melt away
  One science only will one genius fit,
  So vast is art, so narrow human wit
  Not only bounded to peculiar arts,
  But oft in those confined to single parts
  Like kings, we lose the conquests gained before,
  By vain ambition still to make them more
  Each might his several province well command,
  Would all but stoop to what they understand.",1700-1800,7409
"The distinction of birth not only may, but always does, take place among
nations of shepherds. Such nations are always strangers to every sort
of luxury, and great wealth can scarce ever be dissipated among them
by improvident profusion. There are no nations, accordingly, who abound
more in families revered and honoured on account of their descent from
a long race of great and illustrious ancestors; because there are no
nations among whom wealth is likely to continue longer in the same
families. Birth and fortune are evidently the two circumstances which principally
set one man above another.",1700-1800,3300
"Not to the Arch-Idler be the honor given
    Of first inventing work, but to his Lord,
  Who made the light, the firmament of heaven,
    And sun and moon and planets in accord,
  The land and cattle on it, and the sea
    And fish therein, and flying fowl in air,
  And grass and herb and fair fruit-yielding tree,
    And man, His own similitude to wear;

  Whose works are old and yet for ever new,
    Who all sustains with providential sway,
  Whose Son, ""My Father worketh hitherto
    And I work,"" said, and ere He went away,
  ""Finished the work thou gavest me to do,""
    And unto us, ""Work ye while it is day."" THE JOY OF CREATION. How must have thrilled the great Creator's mind
    With radiant, glad and satisfying joy,
  Ever new self-expressive forms to find
    In those six days of rapturous employ!",1900-2000,37365
"""At what time does this steamer start?"" ""At nine in the morning."" ""Well, you shall leave this house at eight. If you go directly to the
steamer you will be in time."" ""But--but,"" I panted, ""I have made no arrangements.",1800-1900,21824
"Qu. Whether it be not a new spectacle under the sun, to behold,
in such a climate and such a soil, and under such a gentle
government, so many roads untrodden, fields untilled, houses
desolate, and hands unemployed? 3.",1700-1800,4543
"All the yere
after the red worme as for the beste. ¶ The roche is an easy fysshe to take : And yf he be fatte &
pen | nyd thenne is he good meete. & thyse ben his baytes.",1483-1600,57943
"As soon as Don Quixote saw them he said to his
Squire: 'Fortune is guiding our affairs better than we could desire. For behold, friend Sancho, how there appear thirty or forty monstrous
Giants with whom I mean to do battle, and take all their lives. With
their spoils we will begin to be rich, for this is fair war, and it is
doing great service to clear away these evil fellows from off the face
of the earth.' 'What Giants?' said Sancho amazed.",1600-1700,55106
"In the time of lord Godolphin's
administration, nobody was better received of his rank than Dr. Garth;
and nobody seemed to have a higher opinion of that minister's integrity,
and abilities in which he had, however, the satisfaction of thinking
with the public. In 1710, when the Whig ministry was discarded, and his lordship had an
opportunity of distinguishing his own friends, from those which were
only the friends of his power, it could not fail of giving him sensible
pleasure to find Dr. Garth early declaring for him, and amongst the
first who bestowed upon him the tribute of his muse, at a time when
that nobleman's interest sunk: A situation which would have struck a
flatterer dumb. There were some to whom this testimony of gratitude
was by no means pleasing, and therefore the Dr's.",1700-1800,10622
"“Hallo, here’s Skitanglebags,” said one of them, referring to him by his
accepted nickname, “drunk as an owl. Let’s muzzle him.”

“No; cork him,” suggested the other. MacDaly, in his cool and comfortable bed, felt his soul revolting from
both of the two forms of torture proposed.",1800-1900,53697
"The old cashier was still at work, at one
o'clock in the morning! That was really most extraordinary. Risler's first impulse was to retrace his steps. In fact, since his
unaccountable falling-out with Sigismond, since the cashier had adopted
that attitude of cold silence toward him, he had avoided meeting him. His wounded friendship had always led him to shun an explanation; he had
a sort of pride in not asking Planus why he bore him ill-will.",1800-1900,3979
"That like I best that flyes beyond my reach. Set me to scale the high Peramides,
   And thereon set the Diadem of Fraunce,
   Ile either rend it with my nayles to naught,
   Or mount the top with my aspiring winges,
   Although my downfall be the deepest hell. For this, I wake, when others think I sleepe,
   For this, I waite, that scorn attendance else:
   For this, my quenchles thirst whereon I builde,
   Hath often pleaded kindred to the King. For this, this head, this heart, this hand and sworde,
   Contrive, imagine and fully execute
   Matters of importe, aimed at by many,
   Yet understoode by none.",1483-1600,1496
"V. and VII. 12mo. London, 1753. COSTERUS (FRANCOIS) CINQUANTE MEDITATIONS DE TOUTE L'HISTOIRE DE LA PASSION
DE NOSTRE SEIGNEUR.",1600-1700,42784
"The pleated skin expands,
accordion-like, as the inner pulp swells with absorbed water. The Gila woodpecker is responsible for many of the holes you see
riddling mature saguaros; the bird will excavate a half-dozen or more
potential nests every year. Other birds use the woodpecker holes,
particularly the elf owl, a six-inch <DW40> which can live only where
the saguaro and the woodpecker provide it with a home. [Illustration: _Saguaro blossoms._]

                      [Illustration: _The Annex._]

14 THE ANNEX. Look above you, at the base of the cliff; do you see a
five-foot manmade wall?",1483-1600,49192
"(q.v. ),
it was to make a mere war of conquest and partition. The Turkish wars
show the weak side of Catherine as a ruler. Though she had mounted the
throne by a military revolt and entered on great schemes of conquest,
she never took an intelligent interest in her army. She neglected it in
peace, allowed it to be shamefully administered in war, and could never
be made to understand that it was not in her power to improvise generals
out of her favourites.",1900-2000,33239
"1884. [232] Luedeking, C. Analyse d. Barytgruppe. Zeits.",1900-2000,40256
"The power of vengeance now implants it selfe,
   Upon the hauty mountains of my brest:
   Plaies with her goary coulours of revenge,
   Whom I respect as leaves of boasting greene,
   That change their coulour when the winter comes,
   When I shall vaunt as victor in revenge. Enter a Messenger. How now sirra, what newes? MESSENGER.",1483-1600,1496
"We--we had a difficulty in getting away."" ""How good! How good!",1800-1900,38236
"he
that hath a beard, is more then a youth: and he that hath
no beard, is lesse then a man: and hee that is more then a
youth, is not for mee: and he that is lesse then a man, I am
not for him: therefore I will euen take sixepence in earnest
of the Berrord, and leade his Apes into hell

   Leon. Well then, goe you into hell

   Beat. No, but to the gate, and there will the Deuill
meete mee like an old Cuckold with hornes on his head,
and say, get you to heauen Beatrice, get you to heauen,
heere's no place for you maids, so deliuer I vp my Apes,
and away to S[aint].",1600-1700,2252
"Excerpts from it were, however,
included in the ""Catholicon"" of Giovanni da Geneva, which was printed
among the earliest of printed books (that is, it falls into the class of
books known as ""incunabula,"" so called because they belong to the
""cradle of printing,"" the fifteenth century). In this ""Catholicon,"" which, though undated, was printed before A.D.
1500, we read

     ""Ab _honorifico, hic_ et _hec honorificabilis,--le_ et
     --hec honororificabilitas,--tis_ et _hec
     honorificabilitudinitas_, et est longissima dictio,
      que illo versu continetur--
        Fulget Honorificabilitudinitatibus iste."" It is perhaps not without interest to call the reader's attention to the
fact that ""Fulget hon|orifi |cabili|tudini|tatibus|iste"" forms a neat
Latin hexameter. It will be found that the revelation derived from the
long word Honorificabilitudinitatibus is itself also in the form of a
Latin hexameter. The long word Honorificabilitudinitatibus occurs in the Quarto edition
of ""Loues Labor's Lost,"" which is stated to be ""Newly corrected and
augmented by W.",1600-1700,9847
"Mr. _Bundy_, Chaplain in ordinary to his Majesty, presented to the
Living of _Chipping-Barnet_ in _Hertfordshire_, in the room of Mr.
_Day_, who resigned. Mr. _Craner_, chosen Lecturer of St. _Mildred’s Bread-street_. Mr. _Wright_, presented to the _sine cure_ at _Hackney_.",1700-1800,53351
"48 of the said act, will shew that the parliament were not ignorant,
that the dividends would become due on the 5th of July, but have
proceeded on the consideration of it's being due on that day. In this
clause, they say, that no _declaration_, &c. shall be after the 10th of
July. Now when they had in contemplation the _making_ of a dividend,
they mentioned the 24th of June, a time preceding the 5th of July, in
order to prevent it; when they had in contemplation the _declaring_ of a
dividend, they say the 10th of July subsequent to the 5th, to
distinguish between the terms _making_ and _declaring_, which have been
so often confounded. It must appear highly improbable to every impartial mind, that the
legislature should enact a law, to regulate the making of dividends,
without knowing the time, when they are made payable; or if they were
ignorant, that they would not enquire, when the directors attended to
answer all enquiries, and were actually examined from day to day, while
the bill was framing; and very few will be hardy enough to affirm, that
if the parliament were aware, that the dividends would be due the 5th
of July, such a blunder could creep into the act of parliament. The most
natural construction, upon reading the said act, is, that the 24th of
June was not inserted by mistake, but by design, and that the
legislature plainly intended, in the restraining clauses, that the India
company should make no dividend at all from Christmas last, which was
before the encrease of the dividend, to the beginning of the next
session of parliament; in which time, all your homeward-bound ships
would arrive, the Midsummer annual account would be made up, and the
ministry would have an opportunity of learning from Lord Clive, what was
the real situation of the affairs in India.",1700-1800,37048
"he asked. ""Jenny."" ""Welcome, Jenny!",1800-1900,29305
"'Why, my dear creature!' exclaimed the landlady, growing exceedingly
confidential, 'didn't you order 'em?' 'No, I haven't marketed yet. My poor boy has been ill, and I haven't
been able to go out.' 'Well, but there can't be any mistake, my dear;' and the landlady,
scenting a mystery, became very inquisitive indeed; here's your name
on a bit of paper.'",1800-1900,53724
"He half hoped there might be, for he had already made up his mind that
this would not be a very agreeable place to stop at. ""There's one five miles off,"" said the woman. ""That's too far to go in such weather.",1800-1900,55098
"Gilbert Gildersleeve,
who was at heart an honest man, loathed and despised and scorned
and detested him. ""Do you dare to hint to me, then,"" he cried, every muscle of his
body quivering with just horror, ""that you told my own daughter you
thought you had reason to suspect her own mother's early antecedents?"" Montague Nevitt looked up at him with a quietly sarcastic smile.",1800-1900,6010
"We feel no want of Edward's riper years,
While Gloster's valour and most princely wisdom
So well support our infant sov'reign's place,
His youth's support, and guardian to his throne. _Glos._ The council (much I'm bound to thank 'em for't)
Have plac'd a pageant sceptre in my hand,
Barren of pow'r, and subject to controul;
Scorn'd by my foes, and useless to my friends. Oh, worthy lord!",1700-1800,30505
"'This sour informer, this bate-breeding spy,
     This canker that eats up Love's tender spring,       656
     This carry-tale, dissentious Jealousy,
     That sometime true news, sometime false doth bring,
       Knocks at my heart, and whispers in mine ear
       That if I love thee, I thy death should fear:      660

     'And more than so, presenteth to mine eye
     The picture of an angry-chafing boar,
     Under whose sharp fangs on his back doth lie
     An image like thyself, all stain'd with gore;        664
       Whose blood upon the fresh flowers being shed
       Doth make them droop with grief and hang the head. 'What should I do, seeing thee so indeed,
     That tremble at the imagination? 668
     The thought of it doth make my faint heart bleed,
     And fear doth teach it divination:
       I prophesy thy death, my living sorrow,
       If thou encounter with the boar to-morrow. 672

     'But if thou needs wilt hunt, be rul'd by me;
     Uncouple at the timorous flying hare,
     Or at the fox which lives by subtilty,
     Or at the roe which no encounter dare:               676
       Pursue these fearful creatures o'er the downs,
       And on thy well-breath'd horse keep with thy hound. 'And when thou hast on foot the purblind hare,
     Mark the poor wretch, to overshoot his troubles      680
     How he outruns the winds, and with what care
     He cranks and crosses with a thousand doubles:
       The many musits through the which he goes
       Are like a labyrinth to amaze his foes.",1483-1600,1045
"Both Houses of
     Parliament congratulate the Queen on the Peace.....
     Substance of the Treaty with France..... Objections to the
     Treaty of Commerce..... Debates in the House of Lords on the
     Malt-tax for Scotland..... The Scottish Lords move for a
     Bill to dissolve the Union.....",1600-1700,19217
"Our entertainment here was in so elegant a
style, and reminded my fellow-traveller so much of England, that he
became quite joyous. He laughed, and said, 'Boswell, we came in at the
wrong end of this island.' 'Sir,' said I, 'it was best to keep this
for the last.' He answered, 'I would have it both first and last.' Tuesday, 14th September

Dr Johnson said in the morning, 'Is not this a fine lady?'",1700-1800,6018
"Sul._ Pray, sir, don't kill him: You fright me as much as him. _Arch._ The dog shall die, madam, for being the occasion of my
disappointment.--Sirrah, this moment is your last. _Gib._ Sir, I'll give you two hundred pounds to spare my life. _Arch._ Have you no more, rascal?",1700-1800,37195
