text,text_number,label
"haue a manne. Eulalia. wel, what and thou coudest by sorcery make him of a drōkarde a soober man, of a vnthrifte a good housbande of an ydell losell a towarde body, woldest thou not doe it? xantip. yes, hardely, woulde I doe it. But where shoulde I learne the cunnyng? Eula. For soth that cōning hast thou in the if thou wouldest vtter it, thyn must he be, mauger thy head, the towarde ye makest him, the better it is for the, thou lokest on nothing but on his leude cōdicions, and thei make the half mad, thou wouldest amende hym and thou puttest hym farther oute of frame, loke",14282,1400s
"Early Ann's face was like...."" ""I'll treat her real nice,"" Sarah said, addressing the cracked ceiling above her. ""I'll treat her just like a daughter. We always did want a daughter, Stanley."" ""Aw, Sarah,"" he said. ""Aw, Sarah, I'm sorry."" It was almost the first time in twenty years that he had told her he was sorry for anything. It was the first time in ten that he had tried to soothe her with his big, rough hands. She could tell that he was trying not to sob, and a sudden flow of pity came out of her heart for the great, clumsy fellow beside her whom she loved. ""I can",46200,1900s
"a peaceful life. There would I betake myself to the rearing of cattle and enjoy my sufficiency to the full: yet as I knew I was too young for this, I must let that plan go by the board also. Such and the like conceits had I many, till at last I resolved to give over my best effects to some man of substance in some safe town to keep, and to wait how fortune would further deal with me. Now at that time I had my Jupiter still with me: for",33858,1600s
"see!"" Ah, it is a happy and a blessed thing to be able to rejoice that God sees us! Less than three years after that, Jack was called to appear before the Lord; and I am sure the recollection of having purposely given pain to others never disturbed the quietness of his death-bed. He felt the blessedness of having been merciful. For my own part, I never can see a man or boy driving cattle with sticks and goads; torturing the poor creatures",17961,1700s
"out Pet. Father, 'tis thus, your selfe and all the world That talk'd of her, haue talk'd amisse of her: If she be curst, it is for pollicie, For shee's not froward, but modest as the Doue, Shee is not hot, but temperate as the morne, For patience shee will proue a second Grissell, And Romane Lucrece for her chastitie: And to conclude, we haue greed so well together, That vpon sonday is the wedding day Kate. Ile see thee hang'd on sonday first Gre. Hark",1107,1500s
"back drains, by means of which, in wet seasons, it inundates the adjacent plains. It was evident, however, that they had not been flooded for many years; and, notwithstanding that the country was low, the line of inundation did not appear to be very extensive, nor were there any reeds growing beyond the immediate banks of the river. Swamp-oak and rough-gum again prevailed near the stream at our halting place, and the improvement that had taken place,",4328,1700s
"nat, althoghe he had redde hys bokes, how he came by thaym I cannat tell. _Me._ He dysplesyd mayster Sextê greuosly. _Ogy._ Thã was there broght forthe || an arme whiche had yet the redde fleshe apon it, he abhorryd to kysse it, a man myght se by hys countenance that he was nothynge well pleasyd, & than by and by mayster Sexten put vp hys relyques. But than we lokyd apõ the table whiche was apõ the aultre, and all hys gorgeousnes, aftrewarde thos thyngs that were hydde vnder the aultre. ther was",14746,1400s
"My lord? OTHELLO. What would you with her, sir? LODOVICO. Who, I, my lord? OTHELLO. Ay, you did wish that I would make her turn. Sir, she can turn, and turn, and yet go on, And turn again. And she can weep, sir, weep; And she’s obedient, as you say, obedient, Very obedient. Proceed you in your tears. Concerning this, sir,—O well-painted passion! I am commanded home.—Get you away; I’ll send for you anon.—Sir, I obey the mandate, And will return to Venice.—Hence, avaunt! [_Exit Desdemona._] Cassio shall have my place. And,",1531,1500s
"act. “How marvellous strange she acted,” he muttered. “I think she knew me--and I think she did _not_ know me. These opinions do conflict, I perceive it plainly; I cannot reconcile them, neither can I, by argument, dismiss either of the two, or even persuade one to outweigh the other. The matter standeth simply thus: she _must_ have known my face, my figure, my voice, for how could it be otherwise? Yet she __said_ _she knew me not, and that is proof perfect, for she cannot lie. But stop--I think I begin to see. Peradventure he hath",1837,1800s
"they are as thick as two men can fathom. Among the vegetables of the place, the palm-cabbage afforded both a wholesome and palatable refreshment; and, indeed, proved the most agreeable repast that our people had for a considerable time enjoyed. In addition to this gratification, they had the pleasure of procuring some excellent fish. From Norfolk Isle, our commander steered for New Zealand, it being his intention to touch at Queen Charlotte's Sound, that he might",7777,1700s
"none of you imagine evil in your hearts against his neighbour, and love no false oath. 11 Forasmuch then as we are not without understanding, we ought to apprehend the design of our merciful Father. For he speaks to us, being willing that we who have been in the same error about the sacrifices, should seek and find how to approach unto him. 12 And therefore he thus bespeaks us, The sacrifice of God (is a broken spirit,) a broken and",6516,1600s
"Rome alike in empire grew; And arts still followed where her eagles flew, From the same foes at last, both felt their doom, And the same age saw learning fall, and Rome. [686] With tyranny then superstition joined As that the body, this enslaved the mind; Much was believed but little understood, And to be dull was construed to be good; A second deluge learning thus o'errun, And the monks finished what the Goths begun. [692] At length Erasmus, that",7409,1600s
"to them in concord, without departing in the least from them. 8 The fruitful earth yields its food plentifully in due season both to man and beast, and to all animals that are upon it, according to his will; not disputing, nor altering any thing of what was ordered by him. 9 So also the unfathomable and unsearchable floods of the deep, are kept in by his command; 10 And the conflux of the vast sea, being brought together by his order into its several collections, passes not the bounds that he has set to it; 11 But as he appointed it, so it remains. For he said, Hitherto shalt then",6512,1600s
"this nest is built, in a place dug for the purpose, and on the cage a tit as a decoy. When left there, the old birds come to feed their young, and are caught in the snare. As soon as they are taken, they must all be brought into the house, where the old and young must be put together in any aviary, or large cage, till the latter can fly; the window may then be opened for them to go out, but hunger will soon bring them back. As soon as they have exercised their wings, the old birds should be placed on the table",40055,1700s
"opening flower! How skilfully she builds her cell! How neat she spreads the wax! And labors hard to store it well With the sweet food she makes. In works of labor or of skill I would be busy too: For Satan finds some mischief still For idle hands to do. In books, or work, or healthful play Let my first years be past, That I may give for every day Some good account at last. SOLEMN THOUGHTS ON GOD AND DEATH. There is a God that reigns above, Lord of the heavens, and earth, and seas: I fear his wrath, I ask his love, And with my lips I sing his praise. There is a law which he has",37543,1600s
"examined them, Mr. Bell being present; which hath certified me that, for a truth, she had confessed herself (which we would have had abbess) to have had two children by two sundry priests; and, further, since hath been kept by a servant of the Lord Broke that was, and that not long ago. Wherefore I would not, for all the gold in the world, clog your conscience nor mine to make her ruler of a house which is of so ungodly demeanour; nor, I trust, you would not that neither for brother nor",32155,1400s
"I can judge, twenty times bigger in Capacity than those of the præternatural one, and the Lungs of the smaller were at least eight times the bigness of the fore-mentioned; both these were exceedingly different, in Colour and Confidence, from those of the præternatural Rabbet. The _Foramen Ovale_ of the smaller Rabbet was more than two thirds open, and that in the larger was so far closed, as but just to admit a very small Probe. As to the Stomach and Intestines, the difference was so notoriously great from those we had examined,",62720,1600s
"in a bumpy, blind end driveway in a neglected, shrubby square with tall buildings set around. He leaned back, smiling drowsily, his fingers playing with Lucky's springy fur. He was waiting complacently for Mitzie's sobs. Instead, the seat jounced and the door of the jeep slammed. He looked around. Mitzie was standing outside the jeep against a shadowy background of tangled shrubbery and misty, silent skyscrapers. Suddenly",65482,1900s
"began to fall with the increasing hardness of the times among the working people. Soon it was down to practically no profit at all--that is, nothing toward the rent. Tom Brashear was forced to abandon his policy of honesty, to do as all the other purveyors were doing--to buy cheap stuff and to cheapen it still further. He broke abruptly with his tradition and his past. It aged him horribly all in a few weeks--but, at least, ruin was put off. Mrs. Brashear had to draw twenty of the sixty-three dollars which were in the savings bank against",450,1800s
"you what is the matter you murmour so with yourselfe? _SPVDEVS._ The truth is (O _Hedoni_) I seke too haue knowledge of a thing, but as yet I cannot fynde that whych maketh for my purpose. _HEDO_ What booke haue you there in your bosome? _SPVDE. Ciceros_ ||dialoge of the endes of goodnes. _HEDO._ It had bene farre more better for you, too haue sought for the begynnynges of godly thynges, then the endes. _SPVDE._ Yea, but _Marcus Tullius_ nameth that the ende of godlines which is an exquisite, a far passing,",16246,1400s
"has been discredited. I now put the facts before the public as they occurred, careless how far they may be believed, and simply writing them down because my lung is growing weaker, and I feel the responsibility of holding my peace longer. I make no vague statement. Turn to your map of Africa. There above Cape Blanco, where the land trends away north and south from the westernmost point of the continent, there it is that Septimius Goring still reigns over his dark subjects, unless retribution has overtaken him; and there, where the long green ridges run swiftly in to roar and",294,1800s
"seconds. At the same instant they felt a great shake, or snap, as he calls it; insomuch that it sensibly shook a punch-bowl, which was in his parlour, and made it ring. He says, it was perceiv'd of most of the people of _Stamford_, who generally ran out of their houses. At _Oakham_ the chief town of _Rutland_, the congregation ran out of the church whilst the preacher was in the pulpit. All the towns round _Stamford_, were sensible of it: and at _Peterborough_, down to _Wisbech_. Thus far the Alderman. But we have had many",63322,1600s
"under you; and to your audit comes Their distract parcels in combined sums. ‘“Lo, this device was sent me from a nun, Or sister sanctified of holiest note, Which late her noble suit in court did shun, Whose rarest havings made the blossoms dote; For she was sought by spirits of richest coat, But kept cold distance, and did thence remove To spend her living in eternal love. ‘“But O, my sweet, what labour is’t to leave The thing we have not, mast’ring what not strives, Planing the place which did no form receive, Playing patient sports in unconstrained gyves, She that her fame so to herself",1543,1500s
"lad whom I could trust, with orders to bring it back repaired, and to wrap up the proper length of rope inside. When all was prepared, one evening, at supper-time, I went to the Queen my mother, who supped alone in her own apartment, it being fast-day and the King eating no supper. My brother, who on most occasions was patient and discreet, spurred on by the indignities he had received, and anxious to extricate himself from danger and",3839,1500s
"would point with bitter scorn, indubitable, overwhelming evidence against him. He gasped for breath and walked restlessly up and down the room. Other thoughts came crowding in upon him. He was conscious of a new element in himself. The last few years had left their mark upon him. With the handling of great sums of money and the acquisition of wealth had grown something of the financier's fever. He had become a power, solidly and steadfastly he had hewn his way into a little circle whose fascination had begun to tell in his",1878,1800s
"her hand into the dark opening. Her face brightened as she felt something not unlike a leather jewel case. She brought it to light, holding it up. “Oh!” Cara exclaimed in disappointment. “It’s nothing but an old book.” “A diary,” Madge corrected. “Well, I guess it was too much to expect that we’d find the pearls. I suppose Miss Swenster knows about this compartment but let’s ask her.” They stepped to the door and called. Miss Swenster answered from the kitchen, and later entered the study, wiping her hands on her apron. “Look what we found in the desk,” Madge said,",40041,1900s
"that may arise in respect of Latitude or Seasons, Motion of the Ship (which will be near the same in one Voyage, as in another) and Cleanness or Foulness of the Work, will also plainly appear upon Record, (by comparing one Number in the said Book with another) and will be Accounted for, and Æquated, as occasion requires: Namely, by only taking such Numbers from the said Book, to work your Proportion",75039,1600s
"stone. The aspect of everything was awfully old; older, indeed, in its effect on the imagination than Rome itself, because history does not lay its finger on these forgotten edifices and tell us all about their origin. Etruscan princes may have dwelt in them. A thousand years, at all events, would seem but a middle age for these structures. They are built of such huge, square stones, that their appearance of ponderous durability distresses the beholder with the idea that they can never fall,--never crumble away,--never be less fit than now for",2182,1800s
"I pray you go Along with me. Exeunt. Scene IV. The French camp. Enter, with Drum and Colours, Cordelia, Doctor, and Soldiers. Cor. Alack, 'tis he! Why, he was met even now As mad as the vex'd sea, singing aloud, Crown'd with rank fumiter and furrow weeds, With harlocks, hemlock, nettles, cuckoo flow'rs, Darnel, and all the idle weeds that grow In our sustaining corn. A century send forth. Search every acre",1794,1500s
"that is, that although in my discourseing of them, I deuyde them in diuers kindes, yee must notwithstanding there of note my Phrase of speaking in that: For doubtleslie they are in effect, but all one kinde of spirites, who for abusing the more of mankinde, takes on these sundrie shapes, and vses diuerse formes of out-ward actiones, as if some were of nature better then other. Nowe I returne to my purpose: As to the first kinde of these spirites, that were called by the auncients by diuers names, according as their actions",25929,1500s
"on the broad chest of the brute who had carried him in. His head hung loosely on his shoulders. Disconsolately, my gaze again returned to the majestic figure on the throne. He sat stiffly, the tubes above his eyes waving slowly. While my interest was centered on Sands' lifeless body, two other beings had followed the High Chief onto the throne and sat in the chairs on either side of him. ""To my uttermost surprise I beheld two human beings sitting",71124,1900s
"the wicked and seditious faction of these robbers. And as we condemn quite a number of other errors of the Anabaptists, we condemn this also, that they dispute that the baptism of little children is unprofitable. For it is very certain that the promise of salvation pertains also to little children [that the divine promises of grace and of the Holy Ghost belong not alone to the old, but also to children]. It does not, however, pertain to those",6744,1400s
"much increased by hair so light that it might rather pass for white than flaxen. He is constantly arrayed in the blue cap and old-fashioned coat, the costume of an endowed school to which he belongs; where he sits still all day, and rushes into the field at night, fresh, untired, and ripe for action, to scold and brawl, and storm, and bluster. He hates Joe Kirby, whose immovable good-humour, broad smiles, and knowing nods, must certainly be very provoking to so fierce and turbulent a spirit; and he has himself (being, except by rare accident, no great player) the preposterous",2496,1700s
"picture cleared, and amazingly, another figure emerged, a woman. I recognized her; it was Whimsy White, erstwhile star of television and premiere of the ""Vision Varieties of '09."" She was changed on that picture, but I recognized her. I'll say I did! I'd been trailing her all through the boom years of '07 to '10, trying to marry her, while old N. J. raved and ranted and threatened to leave everything to the Society for Rehabilitation of the Gobi Desert. I think those threats were what kept her from accepting me, but after I took my own money and ran it up to a couple of million",22890,1900s
"of Opportune.--Her Threats of Suicide.--Visit of the Marquise.--Prudence of the Court. The poor Queen had had several daughters, all divinely well made and pretty as little Cupids. They kept in good health up to their third or fourth year; they went no further. It was as though a fate was over these charming creatures; so that the King and Queen trembled whenever the accoucheurs announced a daughter instead of a son. My readers remember the little negress who was born to the",3853,1600s
"Wilmington--Dr. Richard H. Myers, 34 Paschall Road, Zone 3. DISTRICT OF COLUMBIA (1) Washington--James M. Lazard, Box 38, Army & Navy Club, Zone 5. GEORGIA (1) Atlanta--Col. Allen P. Julian, 1753 Peachtree Street, N. E. KENTUCKY (1) Lexington--(Kentucky CWRT), Dr. Hambleton Tapp, University of Kentucky. ILLINOIS (8) Chicago--Gilbert Twiss, 18 West Chestnut Street. LaSalle--Dr. Russell C. Slater, 744 First Street. Lyons--(Gray and",37740,1900s
"great misfortune, that men of bright parts should be cut off in that manner, since he, who is already a cardinal, might, perhaps, by living to eighty, attain the papal crown; and in the state, many, by living some years extraordinary, may acquire the ducal dignity; and so in regard to letters, by which a man may rise so as to be considered as a god upon earth; and the like in every other profession. There are others, who, though their stomachs become",30660,1400s
"down. This is the signal for all the females present to commence talking ""baby,"" during which time you are left to your own sad thoughts and the speculations upon the practicability of suddenly recollecting an important engagement, and the likelihood of your being believed if you do. Just when you have concocted an absurdly implausible tale about a man outside, the door opens, and a tall, severe-looking woman enters, carrying what at first sight appears to be a particularly skinny bolster, with the feathers all at",849,1800s
"years ago we deliberately smashed her spectacles, which she had adopted at five-and-twenty. “But they are more convenient than eye-glasses,” she urged obtusely. “That argument is beneath you, dear,” we replied. “If your hair were not prematurely grey, we might permit the spectacles, hideous as they are, but a combination of the two is impossible; the world shall not convict you of failing sight when you are guilty only of",1391,1800s
"Within a loathsome Dungeon, there to pyne, Was cursed Instrument of his decease Rich. Discouer more at large what cause that was, For I am ignorant, and cannot guesse Mort. I will, if that my fading breath permit, And Death approach not, ere my Tale be done. Henry the Fourth, Grandfather to this King, Depos'd his Nephew Richard, Edwards Sonne, The first begotten, and the lawfull Heire Of Edward King, the Third of that Descent. During whose Reigne, the Percies of the North, Finding his Vsurpation most vniust, Endeuour'd my aduancement to the Throne. The reason mou'd",2254,1500s
"picture. All the time he was at Compeigne, he was served by the officers of the King's kitchen with so much splendor and magnificence, that he complained to Grotius of the too great expence they were at on his account. He set out from Compeigne on Monday the 30th of April for Paris. He wanted to be there _incognito_; and lodged with Grotius[234]; but as soon as his arrival took air, the crowd to see him was so great that they could scarce keep them from forcing into Grotius's house. Had he been one descended from heaven they",15606,1600s
"closest friend, and at present is visiting her. When your eyes have read thus far her visit will have terminated. Very cordially, THE MINIONS OF MIDAS. My God! did we not instantly realize the terrible import! We rushed through the dayrooms—she was not there—and on to her own apartments. The door was locked, but we crashed it down by hurling ourselves against it. There she lay, just as she had finished dressing for the opera, smothered with pillows torn from the couch, the flush of life yet on her flesh, the body still flexible and warm. Let me pass over",1089,1800s
"“Food and drink,” said the new-comer sharply, flinging himself on a bench by the fire. Hilarius thought he had never seen so strange a fellow. His hair was close cropped; ay, and his ears also. His eyes were very small and near together; his nose a shapeless lump; his lip drawn up showed two rat-like teeth. Silence fell on the company, and the chapman who had been searching amongst his goods for something",789,1800s
"like a golden veil, and you could but just see her laughing blue eyes, and white teeth through me. You may readily guess that the pretty Alice was beloved by all who knew her; and, ere long, the son of the village apothecary won her heart. He was a good-hearted fellow, but never fitted himself to be of much use in the world. He took Alice to a distant village, where, with his father's assistance, he set up as an apothecary, on rather a small scale, of course; but Alice was used to simple fare and to helping herself. All would have been",4048,1700s
"this sentence is hang--” Dragonfly cut in, then, with one of his dumbish questions, at the same time trying to show how smart he was in school, asking, “What kind of a sentence--_declarative_, or _interrogative_, or _imperative_, or _exclamatory?_” Big Jim’s jaw set, and he gave Dragonfly an exclamatory look. Then he went on, shocking us almost out of our wits when he told us something not a one of",58628,1900s
"take it, the only trustworthy sign of a nation's success or of a city's success. We boast that London has beaten the other cities of the world, and think that that boast is enough to cover all the social sins for which London has to confess her guilt. New York beginning with 60,000 sixty years since has now a million souls;--a million mouths, all of which eat a sufficiency of bread, all of which speak _ore rotundo_, and almost all of which can read. And this has come of its love of dollars. For myself I do not believe that Dives is so black as",1865,1800s
"And thus a man may be said to know all those truths which are lodged in his memory, by a foregoing clear and full perception, whereof the mind is assured past doubt as often as it has occasion to reflect on them. For our finite understandings being able to think clearly and distinctly but on one thing at once, if men had no knowledge of any more than what they actually thought on, they would all be very ignorant: and",10616,1600s
"position, since he lowered himself so far as to invite people to come and see him, he, who in former years made it a favour to receive the most distinguished persons. He soon perceived the falling-off in the number of his visitors. Some excused themselves from going; others promised to go and did not. Every one made a difficulty about a journey of fifteen leagues, which, the year before, was considered as easy and as necessary as that of Marly. Vendome remained at Anet until",3865,1600s
"was na Cockpen right saucy witha’? And was na Cockpen right saucy witha’? In leaving the daughter of a lord, And kissin’ a collier lassie an’ a’! O never look down, my lassie, at a’, O never look down, my lassie, at a’, Thy lips are as sweet, and thy figure complete, As the finest dame in castle or ha’. Tho’ thou has nae silk, and holland sae sma’, Tho’ thou has nae silk, and holland sae sma’, Thy coat",1279,1700s
"the other’s industry equally becoming. He was no more anxious to insure his own reputation as a liar than to uphold the truthfulness of his companion; and he seemed unaware of what was incongruous in his attitude, and was plainly sincere in both characters. It was not surprising that he should take an interest in the Devonian, for the lad worshipped and served him in love and wonder. Busy as he was,",627,1800s
"15. And the Lord said unto me, Take unto thee, yet the instruments of a foolish shepherd. 16. For, lo, I will raise up a shepherd in the land, who shall not remember those that are missed, nor seek the young, nor heal the broken one, nor feed that that stands still, but he shall eat the flesh of the fat, and tear their hoofs asunder. 17. Woe to the worthless shepherds, who leave the flock! the sword shall be upon his arm, and upon his right eye: his arm shall be quite dried up, and his right eye shall be utterly darkened. THE",34201,1700s
"on his lute, sytte thou by and singe to him so shalte thou make hym keepe home, and lessen hys expences This shall he thynke at length, in faythe I am a fonde felowe that maketh suche chere with a strumpet abroode with greate lossee bothe of substance and name, seyng that I haue a wyfe at home bothe muche fayrer, and one that loueth me ten times better, with whome I may be both clenlyer receiued and dayntelier cherisshed xantip. Beleuest thou that it will take and I put it into a profe. Eulali. Looke on me. I warrante it or ought longe I wyll in hande with thyne",14282,1400s
"I rowed, I used the axe, I split tree-trunks with wedges; my arms tired, but my spirit remained fresh and chafed against the physical weariness. My arms were not strong enough to satisfy me with the axe, or wedges, or oars. There was delight in the moment, but it was not enough. I swam, and what is more delicious than swimming? It is exercise and luxury at once. But I could not swim far enough; I was always dissatisfied with myself on leaving the water.",2317,1800s
"the Factor gone but one step farther, perforce Snettishane would himself have mentioned the name of Lit-lit, but--the Factor had not gone that one step farther. The chief was non-committal concerning Lit-lit's suitability, till he drove the white man into taking the next step in order of procedure. ""Well,"" the Factor meditated aloud, ""the only way to find out is to make a try of it."" He raised his voice. ""So I will give for Lit- lit ten blankets and three",1096,1800s
"of business was always very great in the best of times. ""It should be also noted that the great amount of capital always seeking employment where tolerable safety could be insured terribly embittered the competition between capitalists when a promising opening presented itself. The idleness of capital, the result of its timidity, of course meant the idleness of labor in corresponding degree. Moreover, every change in the",624,1800s
"endamagement; The cannons have their bowels full of wrath, And ready mounted are they to spit forth Their iron indignation 'gainst your walls; All preparation for a bloody siege And merciless proceeding by these French Confront your city's eyes, your winking gates; And but for our approach those sleeping stones That as a waist doth girdle you about By the compulsion of their ordinance By this time from their fixed beds of lime Had been dishabited, and wide havoc made For",1775,1500s
"when the Lord Jesus said, the children of Israel are like Ethiopians among the people; the women said, Thou, Lord, knowest all things, nor is any thing concealed from thee: but now we entreat thee, and beseech of thy mercy, that thou wouldest restore those boys to their former state. 10 Then Jesus said, Come hither, O boys, that we may go and play; and immediately, in the presence of these women, the kids",6509,1600s
"upon the same person, at the same time, and in the same place? Could mere chance have produced such an exact harmony between their operations, that one of them should play so exactly the game of the other? Suppose for a moment that the Armenian intended to heighten the effect of his deception, by introducing it after a less refined one--that he created a Hector to make himself his Achilles. Suppose that he has done all this to discover what degree of credulity he could expect to find in me, to examine the readiest way to gain my confidence, to familiarize himself",6800,1700s
"gaining his end: wherefore comfort yourself, and take courage and avoid the pestilence as much as you can, for I hope shortly to make you sing, _la renvoyé_. No more at present, from lack of time, but that I wish you in my arms, that I might a little dispel your unreasonable thoughts. Written by the hand of him who is and alway will be yours, Im- H. R. -mutable. Letter Eleventh To Anne Boleyn The cause of my writing at this time, good sweetheart, is only to understand of your good health and prosperity; whereof to",32155,1400s
"is most highly honored. But now men, and that, priests, are cruelly put to death, contrary to the intent of the Canons, for no other cause than marriage. Paul, in 1 Tim. 4,3, calls that a doctrine of devils which forbids marriage. This may now be readily understood when the law against marriage is maintained by such penalties. But as no law of man can annul the commandment of God, so neither can it be done by any",275,1400s
"was going. He dozed once, to be awakened by a change in course. He had nothing to do but to think, and he tried to put himself in the place of the enemy and work it from there. Eventually it grew cold, and Charless decided that they must be in the arctic. Number 1142 glided in, coasted along ice, and came to a stop. Jason Charless emerged cautiously and saw the entire batch of them in serried rows. It was quite dark on the ice, and Charless found that they were on the",70402,1900s
"Allerton, and tould him of y^e returne of y^e ship, and what had befallen. And he not knowing what to doe, having a great chareg under hand, y^e ship lying at his rates, and now ready to set sayle, got him to goe and discharg y^e ship, and take order for y^e goods. To be short, they found M^r. Hatherley some thing reserved, and troubled in him selfe, (M^r. Allerton not being ther,) not knowing how to dispose of y^e goods till he came; but he heard he was arived with y^e other ship to y^e eastward, and expected his coming. But he tould them ther was not",24950,1500s
"that.” “You seem very indifferent about it. Why didn’t you tell me today when you came?” she said in the tone of a neglected person. “I heard of it quite by accident.” “I did mean to tell you,” said Wildeve. “But I—well, I will speak frankly—I did not like to mention it when I saw, Eustacia, that your star was not high. The sight of a man lying wearied out with hard work, as your husband lay, made me feel that to brag of my own",122,1800s
"_He laugh'd at stones about ghaists_; Blythe Willie's dead! _Watson's Scotish Poems_, Edin. 1706.] _Flyting of Polwart and Montgomery_. The domestic economy of the borderers next engages our attention. That the revenue of the chieftain should be expended in rude hospitality, was the natural result of his situation. His wealth consisted chiefly in herds of cattle, which were consumed by the kinsmen, vassals, and followers, who aided him to acquire and to protect them[59]. We learn from Lesley, that the borderers were temperate in the use of intoxicating liquors, and we are therefore",12742,1700s
"to eat. The two Life-Guard Men posted themselves behind the Arm-Chair of the King and Queen, and the six _Swissers_ encompass’d the Table three on each side with their Halberds in their hands. When Dinner was serv’d up, the Great Chamberlain with his Staff in hand went and acquainted the King of it, who immediately enter’d the Hall, follow’d by the Queen, who was led by the Prince Royal; as were the Princess Royal and the",38507,1600s
"vowes so borne, In their natiuity all truth appeares. How can these things in me, seeme scorne to you? Bearing the badge of faith to proue them true Hel. You doe aduance your cunning more & more, When truth kils truth, O diuelish holy fray! These vowes are Hermias. Will you giue her ore? Weigh oath with oath, and you will nothing weigh. Your vowes to her, and me, (put in two scales) Will euen weigh, and both as light as tales Lys. I had no iudgement, when to her I swore Hel. Nor none in my minde, now you giue",1113,1500s
"the outward act. Then they began to dispute whether one Mass said for many were worth as much as special Masses for individuals, and this brought forth that infinite multitude of Masses. [With this work men wished to obtain from God all that they needed, and in the mean time faith in Christ and the true worship were forgotten.] Concerning these opinions our teachers have given warning that they depart from the Holy Scriptures and diminish the glory of the passion of Christ. For Christ's passion was an oblation and satisfaction, not for original guilt only, but also",275,1400s
"and Reflexions, and their various Separations or Mixtures, keep those their original Properties perpetually the same without alteration; then all the Colours in the World must be such as constantly ought to arise from the original colorific qualities of the Rays whereof the Lights consist by which those Colours are seen. And therefore if the reason of any Colour whatever be required, we have nothing else to do than to consider",33504,1600s
